Gene	Chr	ABRF-ILMN-RIBO-A-1	ABRF-ILMN-RIBO-A-2	ABRF-ILMN-RIBO-A-3	ABRF-ILMN-RIBO-A-4	ABRF-ILMN-RIBO-B-1	ABRF-ILMN-RIBO-B-2	ABRF-ILMN-RIBO-B-3	ABRF-ILMN-RIBO-B-4	ABRF-ILMN-RNA-A-1	ABRF-ILMN-RNA-A-2	ABRF-ILMN-RNA-A-3	ABRF-ILMN-RNA-A-4	ABRF-ILMN-RNA-B-1	ABRF-ILMN-RNA-B-2	ABRF-ILMN-RNA-B-3	ABRF-ILMN-RNA-B-4
ABCA9	chr17	22	18	21	18	1182	1603	958	897	10	9	6	15	1204	940	1419	1206
ABCB1	chr7	502	336	317	366	1554	1860	1056	1018	635	758	744	845	2519	2389	3023	2331
ABCB10	chr1	3242	2214	2255	3448	1344	1598	977	861	3560	4806	5228	5864	2273	1972	2538	2336
ABCB11	chr2	14	14	6	5	3	11	0	3	16	8	4	5	1	6	18	4
ABCB4	chr7	355	202	167	223	39	60	35	42	285	378	246	353	53	59	51	61
ABCB5	chr7	710	441	411	650	2	9	4	4	541	566	719	766	2	0	0	6
ABCB6	chr2	174	104	61	96	186	274	169	119	403	347	222	321	526	560	714	484
ABCB7	chrX	3417	2282	1777	2331	1648	1939	1141	1101	3501	4819	4545	5588	1498	1280	1704	1322
ABCB8	chr7	263	158	102	108	387	588	287	238	995	613	369	571	985	1046	1216	755
ABCB9	chr12	86	70	34	39	366	657	287	326	286	208	98	162	524	611	756	380
ABCC1	chr16	2587	2015	1392	1447	470	675	356	271	6817	6135	4764	6549	833	859	1181	738
ABCC10	chr6	282	188	167	134	380	446	267	235	780	443	368	491	660	890	1030	592
ABCC11	chr16	21	30	9	5	39	39	26	21	32	38	16	32	58	51	63	52
ABCC12	chr16	0	0	0	0	108	149	64	88	2	2	0	2	241	241	368	273
ABCC2	chr10	6481	4273	3329	4053	72	71	51	36	7981	9649	8624	10735	67	69	102	179
ABCC3	chr17	396	294	168	145	36	42	26	15	1302	1167	835	1131	40	59	66	57
ABCC4	chr13	6548	4686	3989	5456	870	919	617	548	4972	6661	6782	7516	633	543	660	717
ABCC5	chr3	2699	1797	1307	1854	5597	7064	4133	3693	3781	4307	3603	4711	11642	11388	15345	11146
ABCC6	chr16	196	167	133	156	19	32	21	16	381	309	328	358	27	42	37	37
ABCC8	chr11	6	0	2	1	747	1145	594	458	26	4	10	8	1962	2409	2778	1492
ABCC9	chr12	248	183	129	224	2245	2759	1697	1449	91	148	176	204	2020	1666	2076	1806
ABCD1	chrX	15	25	11	9	15	15	0	3	372	125	91	83	20	51	38	29
ABCD2	chr12	217	180	142	180	5207	6008	3889	3611	50	106	159	117	3704	2989	4469	3576
ABCD3	chr1	8942	6434	5977	8534	5255	6185	3730	3521	7346	9904	10305	11792	5811	4968	6787	5893
ABCD4	chr14	581	469	316	432	765	977	576	453	1877	1608	1198	1568	1775	1995	2574	1540
ABCE1	chr4	15361	10809	10178	14759	4152	5232	3238	2969	12553	17988	19811	22156	5772	4771	6542	5923
ABCF1	chr6	2187	1531	1024	985	1052	1452	878	620	8211	7533	5353	7776	2497	2647	3308	2288
ABCF2	chr7	2019	1420	899	1001	1557	2082	1026	1017	5080	4936	3769	5166	3158	3553	4636	3180
ABCF3	chr3	435	293	208	259	888	1295	571	483	1979	1502	966	1400	2131	2705	3278	1757
ABCG1	chr21	564	393	270	336	1145	1517	804	708	1421	1422	1074	1357	1480	1484	1830	1391
ABCG2	chr4	1009	746	604	794	2617	3158	1758	1737	1158	1574	1566	1711	4075	3534	4685	4045
ABCG4	chr11	2	4	0	2	282	434	210	198	16	16	4	18	1005	1274	1527	817
ABCG5	chr2	198	120	113	132	23	31	27	25	241	321	377	427	25	26	28	12
ABCG8	chr2	18	11	9	4	17	15	13	5	69	77	62	63	27	18	34	38
ABHD1	chr2	51	42	20	21	62	101	36	43	44	24	25	32	51	28	55	33
ABHD10	chr3	3024	2175	1939	2758	3432	4067	2614	2258	3413	4678	4918	5567	5577	4972	6762	5860
ABHD11	chr7	45	62	20	25	49	89	45	33	530	394	201	352	174	253	236	177
ABHD12	chr20	1058	760	613	758	1511	1865	1016	896	3216	2531	2150	2628	4123	4616	5335	3414
ABHD12B	chr14	164	92	103	131	198	224	123	169	85	88	87	114	378	364	512	383
ABHD13	chr13	2524	2062	1916	2968	3225	3887	2305	2312	2232	3031	3420	3892	3014	2738	3583	3064
ABHD14A	chr3	23	9	8	6	126	159	100	78	206	139	61	104	597	737	768	357
ABHD14B	chr3	447	325	213	224	163	221	100	103	2164	1941	1637	2046	474	575	686	481
ABHD15	chr17	415	296	271	348	114	160	90	82	802	928	947	992	229	243	232	207
ABHD16A	chr6	154	67	80	99	73	83	47	64	180	135	133	176	145	163	211	111
ABHD16B	chr20	4	8	2	0	6	10	0	4	80	28	16	28	10	14	15	10
ABHD2	chr15	10094	6902	5499	7280	11417	14222	8206	7826	8148	9987	9529	11047	13761	12568	16720	13258
ABHD3	chr18	2620	1679	1651	2435	620	725	426	399	3354	4792	4871	5640	1370	1263	1758	1475
ABHD4	chr14	294	216	130	133	322	431	211	182	1740	1552	954	1339	946	1127	1400	810
ABHD5	chr3	1661	1000	911	1308	1101	1203	823	695	1550	2033	2042	2185	931	1011	1415	1002
ABHD6	chr3	392	224	163	240	1580	2145	1119	1018	829	1001	863	1071	4039	3790	4882	3507
ABHD8	chr19	4	13	5	6	106	133	57	46	157	71	40	58	411	581	617	270
ABI1	chr10	4552	3284	2834	4245	6058	7172	4217	3814	5142	6738	6958	8281	8875	8297	10772	9105
ABI2	chr2	9877	6730	6170	8374	18919	22958	14145	12926	9437	13085	12899	15350	25722	22622	31211	24963
ABI3	chr17	12	3	1	1	34	49	26	14	40	14	12	20	64	101	135	59
ABI3BP	chr3	1203	828	745	1056	736	923	612	555	722	991	1139	1343	750	636	854	664
ABL1	chr9	1376	1024	640	758	844	1106	581	512	4300	3031	2073	2906	1570	1981	2344	1381
ABL2	chr1	4465	3078	2324	3223	3367	4323	2671	2291	2602	3057	2883	3644	3030	3084	3824	2784
ABLIM1	chr10	6350	4579	3663	4467	32563	40147	24370	21898	7809	9738	9229	10975	65560	58858	78935	63678
ABLIM2	chr4	21	7	13	4	872	1110	615	593	54	36	14	42	2130	2558	3345	1880
ABLIM3	chr5	705	461	328	311	2394	3164	1732	1558	2053	2105	1759	2193	6223	6461	8500	5909
ABO	chr9	2	5	5	5	1	3	1	3	25	12	9	8	10	6	12	1
ABR	chr17	748	593	358	346	4746	6510	3209	2779	3004	2375	1600	2278	10996	13462	16167	9205
ABRA	chr8	75	81	57	96	126	130	92	55	0	12	12	8	38	33	38	66
ABRACL	chr6	1467	1075	954	1269	368	438	242	244	2322	2891	3183	3637	792	804	996	849
ABT1	chr6	629	455	319	411	275	324	192	196	1336	1490	1309	1724	668	623	768	548
ABTB1	chr3	23	21	18	8	255	338	150	106	297	185	116	135	1429	1968	2212	1077
ABTB2	chr11	145	104	59	92	148	172	102	117	688	525	396	578	614	617	794	485
AC005154.5	chr7	152	71	79	101	75	103	51	36	90	60	67	94	52	40	72	43
AC005702.1	chr17	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
AC006486.1	chr19	24	18	8	20	36	10	14	6	25	36	23	30	22	26	18	24
AC008397.1	chr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008537.1	chr19	0	0	0	0	0	4	2	1	0	0	0	0	2	0	0	0
AC008687.1	chr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010325.1	chr19	0	0	2	0	2	0	0	0	2	0	0	2	2	2	2	1
AC013489.1	chr15	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0
AC017083.3	chr2	2	2	0	0	6	1	5	8	0	0	0	0	1	0	1	0
AC020907.6	chr19	1	1	1	0	0	2	0	4	5	3	4	7	2	1	4	2
AC020915.4	chr19	910	516	465	511	933	1205	723	597	2619	2640	2115	3028	2984	2934	3868	2743
AC034228.3	chr5	1	1	0	0	71	69	36	40	4	0	0	1	9	28	33	26
AC053503.6	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC068831.6	chr15	12	6	2	5	18	13	11	8	47	18	6	9	38	30	33	14
AC068946.1	chr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC091167.2	chr15	557	394	411	582	734	886	512	483	678	729	869	954	1047	939	1258	1153
AC093668.1	chr7	5	0	0	0	1	2	0	0	1	0	0	2	0	2	6	0
AC098650.1	chr3	5	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0
AC105052.1	chr7	3	2	3	2	10	5	5	1	0	0	0	0	2	1	3	0
AC113554.1	chr17	0	0	2	2	12	5	1	4	8	11	4	13	7	8	7	3
AC138647.1	chr8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ACAA1	chr3	187	193	88	163	337	465	243	171	1056	780	415	744	1022	1294	1628	942
ACAA2	chr18	2302	1486	1188	1473	919	1159	725	605	5451	6273	5760	7106	2433	2169	2928	2162
ACACA	chr17	9000	6198	4012	4884	9221	11505	6324	6062	8734	9155	7718	10440	9632	9822	12882	9235
ACACB	chr12	278	230	185	150	1000	1319	627	559	585	612	464	584	1393	1304	1747	1109
ACAD10	chr12	937	678	404	497	585	657	391	359	1588	1465	1158	1489	694	798	900	638
ACAD11	chr3	72	54	20	50	43	81	34	43	4	12	4	8	14	10	17	20
ACAD8	chr11	1455	1052	828	1061	2196	2737	1410	1320	2704	3277	2825	3470	3720	3682	4866	3691
ACAD9	chr3	1141	835	566	661	884	1152	553	561	2258	2050	1580	2285	1468	1506	2170	1344
ACADL	chr2	24	5	26	36	248	236	122	141	24	24	64	23	194	176	206	167
ACADM	chr1	6353	4295	4305	6215	3908	4652	2820	2776	6997	10048	11110	12548	6485	5358	7364	6452
ACADS	chr12	18	12	8	6	28	28	22	16	318	133	82	78	80	108	116	60
ACADSB	chr10	4068	2752	2467	3406	4626	5473	3300	3066	4814	6684	6869	8056	7007	6125	8369	6991
ACADVL	chr17	1128	933	485	409	1445	2043	969	909	11255	7821	4301	6850	5494	6595	7781	4340
ACAN	chr15	20	5	6	3	82	95	52	51	32	18	14	18	118	150	280	148
ACAP1	chr17	135	104	52	58	207	250	155	126	371	241	198	271	143	161	174	140
ACAP2	chr3	13440	9251	8791	13301	7432	9141	5484	5157	6776	9653	11209	11999	5950	4874	7218	6155
ACAP3	chr1	36	71	20	28	413	666	306	234	984	364	175	318	1955	2999	3444	1534
ACAT1	chr11	5583	3793	3428	4325	2629	3400	1905	1816	8633	10828	11005	12657	4920	4377	5800	4667
ACAT2	chr6	3293	2133	1552	1836	1366	1625	1017	930	6650	7672	7026	8876	3001	2745	3755	2896
ACBD3	chr1	5707	3923	3625	5616	2999	3691	2088	2054	5784	7859	8485	9404	3885	3485	5023	4089
ACBD4	chr17	45	50	39	20	96	127	51	37	356	256	142	204	328	424	494	245
ACBD5	chr10	3939	2816	2559	3568	5154	5912	3446	3559	3761	5156	5563	5924	7752	6936	9116	7824
ACBD6	chr1	2324	1653	1441	1781	1030	1282	723	713	2943	3689	3434	4493	1650	1420	1924	1522
ACBD7	chr10	234	198	184	276	1205	1508	794	798	300	304	241	363	1296	1355	1694	1379
ACCS	chr11	404	252	197	214	247	292	96	127	919	853	622	851	273	242	307	193
ACCSL	chr11	1	0	0	0	0	5	4	2	2	0	0	1	4	6	0	0
ACD	chr16	46	49	31	8	85	108	63	58	622	309	159	246	357	407	563	255
ACE	chr17	39	14	5	10	31	79	27	38	205	152	68	144	113	208	202	113
ACE2	chrX	84	55	49	70	17	14	12	17	72	76	93	84	32	20	30	30
ACER1	chr19	0	0	0	0	0	4	0	0	0	0	0	0	2	2	0	0
ACER2	chr9	198	130	91	131	307	365	224	228	127	181	198	195	195	199	318	183
ACER3	chr11	4514	3168	3017	4426	4638	5839	3498	3345	3747	4770	5104	6142	6064	5234	7546	6535
ACHE	chr7	0	3	2	2	74	147	62	44	60	23	8	21	392	525	582	259
ACIN1	chr14	4827	3524	2261	2386	3652	4751	2419	2332	14656	13282	9193	12976	7076	7487	9724	6335
ACLY	chr17	7785	5486	4128	5050	3161	3915	2177	1983	18596	20044	17905	22255	7903	7905	10620	7585
ACMSD	chr2	64	41	16	45	95	126	70	60	13	15	11	18	29	20	18	12
ACO1	chr9	4688	3282	2491	3301	2011	2406	1456	1347	5676	7171	6714	8042	3012	2756	3722	2850
ACO2	chr22	438	313	135	151	1648	2239	1045	1082	2421	1643	942	1635	4386	5546	6668	3816
ACOT1	chr14	18	5	8	6	47	33	7	23	103	55	33	52	102	118	178	87
ACOT11	chr1	63	45	38	45	880	1292	665	612	93	61	22	61	171	221	275	154
ACOT12	chr5	39	31	7	26	21	8	5	10	30	59	29	39	14	3	0	9
ACOT13	chr6	2509	1719	1458	1988	1657	2103	1266	1082	3158	3939	3834	4651	2818	2683	3469	2935
ACOT2	chr14	200	187	118	208	220	265	137	152	683	603	534	636	392	472	481	349
ACOT4	chr14	37	32	18	31	238	243	150	110	120	131	111	191	260	277	368	258
ACOT6	chr14	5	3	10	6	69	81	55	27	7	1	0	3	16	15	14	13
ACOT7	chr1	246	156	149	149	538	732	350	359	2032	1591	1244	1444	3316	3656	4186	2400
ACOT8	chr20	291	184	130	209	354	475	256	163	672	504	342	482	686	818	917	597
ACOT9	chrX	2107	1479	1086	1335	1015	1205	810	679	3029	3719	3463	4397	1439	1321	1728	1463
ACOX1	chr17	6229	4100	3648	5101	6246	7813	4476	4011	4465	5218	5123	6338	5112	4573	6411	5057
ACOX2	chr3	83	65	33	52	69	127	69	50	296	339	234	267	139	190	211	134
ACOX3	chr4	133	133	92	72	335	453	240	199	469	327	324	353	273	378	393	233
ACOXL	chr2	35	19	18	10	8	12	1	1	11	26	19	15	1	3	5	0
ACP1	chr2	6643	4504	4153	5903	2640	3321	1953	1826	10738	13576	13479	15524	6221	5726	7623	6109
ACP2	chr11	251	213	93	86	557	593	339	295	1323	1079	658	1046	1303	1394	1860	1220
ACP5	chr19	35	58	22	17	4	7	5	12	373	272	140	274	26	24	28	26
ACP6	chr1	467	283	203	262	293	388	182	182	1220	1206	889	1338	279	291	396	312
ACR	chr22	0	2	1	2	11	4	4	5	3	0	10	0	15	11	22	12
ACRBP	chr12	17	12	9	4	12	29	24	15	83	52	42	48	54	87	87	61
ACRV1	chr11	215	174	125	189	25	21	22	18	90	90	94	128	68	77	83	74
ACSBG1	chr15	60	51	46	70	632	881	469	452	98	56	74	118	1102	1228	1625	1047
ACSBG2	chr19	85	47	47	51	53	48	48	36	29	58	37	43	26	41	37	67
ACSF2	chr17	303	228	140	138	349	367	220	213	1412	1311	861	1208	744	791	1015	644
ACSF3	chr16	820	720	460	543	488	623	261	326	1348	1200	849	1196	630	774	963	639
ACSL1	chr4	2683	1752	1434	2096	4199	4907	2790	2783	3909	4681	4748	5391	7821	7298	9686	7537
ACSL3	chr2	23368	16172	15528	22720	18421	21310	13321	12338	20726	27883	29466	32855	22468	19131	25599	23037
ACSL4	chrX	24088	16891	16417	23975	9162	10568	6610	6336	17799	24374	27164	30192	10856	9519	12463	11127
ACSL5	chr10	1076	806	661	771	742	975	512	465	2178	2484	2099	2927	1677	1521	2015	1470
ACSL6	chr5	129	97	61	121	14094	17469	10443	9626	122	193	202	271	19540	17217	23790	19753
ACSM1	chr16	136	127	90	81	19	25	13	13	111	63	78	75	31	22	26	31
ACSM2A	chr16	37	33	21	43	0	0	0	0	77	77	75	149	0	0	0	0
ACSM2B	chr16	69	49	38	58	0	0	0	0	181	167	127	189	0	0	0	4
ACSM3	chr16	4473	3080	2263	2858	17	41	26	18	5925	7824	7181	9030	32	25	25	77
ACSM4	chr12	41	27	25	44	15	63	17	17	36	18	20	41	19	17	29	26
ACSM5	chr16	31	20	15	13	74	83	34	45	62	33	42	68	126	155	172	133
ACSS1	chr20	320	216	201	159	922	1153	573	569	1648	1673	1268	1678	3000	3408	4236	2861
ACSS2	chr20	1426	981	583	690	1189	1421	744	707	4235	4174	3089	4088	2882	2894	3886	2584
ACSS3	chr12	1676	1198	1013	1283	1078	1193	732	636	2091	2585	2568	3052	1491	1288	1885	1504
ACTA1	chr1	4	4	4	2	8	4	6	6	38	10	16	23	20	40	31	15
ACTA2	chr10	64	54	26	22	413	497	270	228	247	180	156	206	1035	1220	1556	1000
ACTB	chr7	49125	34629	24293	27786	26883	35744	19546	17945	136837	140570	117151	158218	85201	87044	111853	80738
ACTBL2	chr5	40	47	27	37	0	0	0	2	28	28	28	48	0	0	0	0
ACTC1	chr15	18	8	6	16	78	95	58	61	82	100	50	80	221	183	291	179
ACTG1	chr17	34439	25254	19408	24561	11072	14166	7638	6848	128508	127102	108335	138514	44698	46564	60710	41542
ACTG2	chr2	57	43	10	20	38	40	14	22	326	285	144	300	148	258	224	126
ACTL10	chr20	19	10	2	7	8	14	11	6	38	14	14	15	2	6	6	2
ACTL6A	chr3	5938	3855	3391	4316	683	846	510	466	8389	10826	11452	12951	1188	979	1325	1101
ACTL6B	chr7	2	2	0	0	226	314	129	142	2	2	10	0	941	1440	1537	704
ACTL7A	chr9	1	2	0	0	6	2	5	4	0	0	0	2	0	0	0	0
ACTL7B	chr9	0	2	0	2	0	4	0	4	2	0	0	2	0	0	0	0
ACTL8	chr1	34	23	8	20	0	0	0	0	220	216	133	184	0	4	12	0
ACTL9	chr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	chr14	3135	2237	1839	2591	1458	2054	1050	957	10691	9106	7739	9991	4723	5055	6292	4389
ACTN2	chr1	64	55	52	68	1622	2118	1138	1055	71	106	131	124	3739	3988	5205	3682
ACTN3	chr11	0	0	0	0	10	6	6	6	2	2	0	3	2	6	7	3
ACTN4	chr19	1043	920	503	490	1070	1358	752	556	8461	4778	2747	4345	3068	4173	4918	2695
ACTR10	chr14	3606	2392	2220	2953	4160	5100	3107	2887	5176	6523	6894	8019	9466	8397	11297	9565
ACTR1A	chr10	1086	835	435	441	3443	4237	2311	2029	4755	4068	2825	4268	8933	9840	12532	7853
ACTR1B	chr2	396	314	192	174	912	1346	644	557	2529	1893	1290	1970	3400	4330	5310	2987
ACTR2	chr2	20607	14047	13696	21114	14280	16873	10149	9954	29327	41043	43922	49078	31747	27721	38278	33087
ACTR3	chr2	20541	14306	13297	19881	9484	10755	6515	6313	18210	25782	26693	30950	12744	11172	15003	12929
ACTR3B	chr7	756	588	439	589	1315	1561	866	753	1027	1416	1220	1641	2710	2628	3521	2591
ACTR3C	chr7	392	206	233	296	180	235	131	107	149	179	153	207	142	130	214	144
ACTR5	chr20	498	348	242	243	276	389	166	170	1125	1291	1012	1290	550	580	835	529
ACTR6	chr12	3194	2148	2063	3157	2683	3122	1890	1677	3263	4534	5279	5843	5359	4506	6296	5325
ACTR8	chr3	2104	1412	1071	1379	2161	2575	1470	1382	1960	2482	2141	2829	2167	2086	2318	2013
ACTRT1	chrX	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ACTRT2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1	chr2	1192	783	684	880	888	939	606	623	1858	2536	2170	2887	1739	1553	2362	1784
ACVR1B	chr12	803	563	399	470	2038	2469	1397	1330	1808	1752	1350	2100	4759	5210	6465	4178
ACVR1C	chr2	160	103	135	156	869	1027	643	625	64	155	149	170	459	411	601	522
ACVR2A	chr2	1996	1424	1394	1895	4091	4835	2815	2813	1065	1531	1582	2012	3084	2673	3508	3276
ACVR2B	chr3	197	118	103	124	174	213	110	117	100	108	60	85	54	68	99	31
ACVRL1	chr12	10	10	2	2	125	178	76	85	59	56	29	40	367	454	582	314
ACY1	chr3	53	30	29	33	42	45	20	20	128	113	72	146	47	64	56	53
ACY3	chr11	4	0	2	0	4	6	0	6	35	9	4	10	23	34	20	10
ACYP1	chr14	792	555	512	756	573	730	405	358	1321	1730	1561	2068	1494	1255	1696	1294
ACYP2	chr2	252	166	130	234	1349	1516	858	935	339	496	471	647	3985	3445	4827	4010
AD000671.1	chr19	4	4	2	0	21	12	13	6	3	7	0	0	0	2	1	3
ADA	chr20	527	425	227	193	84	113	59	57	3640	3160	2145	3042	129	206	299	161
ADAD1	chr4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	chr16	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0
ADAL	chr15	1587	1188	981	1195	986	1077	757	576	1661	2390	2301	2853	1344	1222	1622	1281
ADAM10	chr15	20913	14744	13046	19352	9167	11111	6824	6641	15136	20379	21369	24729	9777	8290	11605	9925
ADAM11	chr17	24	23	7	4	611	981	432	372	161	131	50	96	2559	3371	3858	2083
ADAM12	chr10	2066	1579	1341	1716	321	401	187	171	2231	2594	2473	2890	309	298	406	324
ADAM15	chr1	160	161	59	43	165	329	125	134	2022	1080	482	806	745	1133	1207	596
ADAM17	chr2	4587	3213	2836	3790	2071	2637	1456	1381	2944	3325	3614	4033	1806	1764	2195	1819
ADAM18	chr8	9	1	5	2	0	0	0	0	4	12	8	14	5	0	0	0
ADAM19	chr5	341	251	170	195	556	797	395	372	894	787	680	863	1037	1036	1387	938
ADAM2	chr8	124	72	83	104	0	2	0	0	50	80	78	81	0	0	0	0
ADAM20	chr14	132	109	76	98	437	581	381	292	6	13	12	8	34	18	24	23
ADAM21	chr14	54	32	36	50	152	183	119	108	26	52	26	22	93	67	116	79
ADAM22	chr7	2113	1502	1401	1795	26495	30749	18578	17574	1828	2294	2360	2784	33633	29363	40857	33333
ADAM23	chr2	1973	1224	1046	1344	6673	8655	4948	4651	3141	3663	3623	4366	14840	13010	18060	13995
ADAM28	chr8	244	188	191	227	815	987	571	583	170	192	263	257	607	564	830	711
ADAM29	chr4	14	2	16	9	31	40	25	18	9	14	2	2	22	6	15	18
ADAM30	chr1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	chr8	427	288	350	513	1257	1428	866	893	113	150	184	148	344	303	356	311
ADAM33	chr20	10	20	16	4	66	77	38	36	188	113	80	86	223	264	273	171
ADAM7	chr8	6	6	4	4	46	60	49	33	4	0	0	0	0	2	3	0
ADAM8	chr10	8	8	8	2	17	16	8	12	100	39	28	42	34	51	54	31
ADAM9	chr8	15423	10950	9604	14178	6679	7745	4693	4334	14126	19443	20287	22827	8262	7257	9793	8084
ADAMDEC1	chr8	2	0	2	1	14	11	10	6	0	0	2	4	4	0	4	6
ADAMTS1	chr21	6514	4526	3877	5396	1943	2333	1256	1254	8051	9688	9322	11271	4258	4055	5485	4179
ADAMTS10	chr19	6	9	5	4	64	99	42	46	87	37	13	49	153	229	228	138
ADAMTS12	chr5	1053	681	536	609	46	43	34	19	1214	1437	1383	1687	31	32	59	50
ADAMTS13	chr9	22	26	16	2	50	104	68	30	187	121	62	127	206	315	372	193
ADAMTS14	chr10	40	30	13	15	14	52	18	22	505	285	165	199	142	190	213	115
ADAMTS15	chr11	166	81	78	100	16	28	18	18	476	427	274	364	36	38	38	18
ADAMTS16	chr5	91	74	36	41	485	759	398	399	60	103	92	95	435	426	623	434
ADAMTS17	chr15	131	101	53	49	156	176	73	102	201	189	181	184	117	96	118	127
ADAMTS18	chr16	38	54	39	29	2012	2474	1465	1293	49	77	71	90	2329	2145	2843	2309
ADAMTS19	chr5	473	313	225	334	340	414	261	247	273	367	376	414	116	114	174	176
ADAMTS2	chr5	107	81	54	69	50	63	62	54	316	308	221	277	97	125	135	91
ADAMTS20	chr12	375	234	193	354	21	15	23	19	151	227	207	235	11	4	0	18
ADAMTS3	chr4	1130	691	677	828	468	504	359	278	960	1106	1329	1436	398	308	419	297
ADAMTS4	chr1	58	37	34	14	494	652	353	341	176	124	100	129	817	1048	1271	777
